10000pt_may_campaign,request_step1,20
top_request,request_step1,16
Other_team_links_toyota1,request_step1,10
Other_team_links_honda1,request_step1,10
guide_request_bmw1,request_step1,4
5000pt_may_campaign,request_step1,3
1000pt_may_campaign,request_step1,2
100pt_may_campaign,request_step1,2
nissan_roox_request,request_step1,1
Campaign1_1_request,request_step1,1
request_step1,request_step1_model,48
shop_hondacars1_request,request_step1_model,2
request_step1_model,request_step2,26
nissan_serena_request,request_step2,6
honda_n-box_request,request_step2,5
toyota_aqua_request,request_step2,5
toyota_gr-yaris_request,request_step2,4
toyota_prius_request,request_step2,3
nissan_sakura_request,request_step2,3
mini_bmw-mini5_request,request_step2,3
toyota_roomy_request,request_step2,3
toyota_corolla-sport_request,request_step2,3
nissan_note_request,request_step2,2
toyota_crown-crossover-hybrid_request,request_step2,2
nissan_aura_request,request_step2,2
toyota_harrier_request,request_step2,2
toyota_yaris-cross_request,request_step2,2
nissan_roox_request,request_step2,2
toyota_granace_request,request_step2,2
nissan_caravan-van_request,request_step2,2
bmw_x5_request,request_step2,2
toyota_noah_request,request_step2,2
toyota_corolla_request,request_step2,1
toyota_corollacross-hybrid_request,request_step2,1
bmw_x1_request,request_step2,1
100pt_may23_toyopet1_sienta_request,request_step2,1
toyota_yaris_request,request_step2,1
request_step2,request_step3,22
request_step3,request_step4,4
request_step4,request_step5,1
Other_team_links_ichiba_bar,request_step1,10
